dataset,GID_1,NAME_1,GID_2,NAME_2,POPESTIMATE2015,1km_population,pop_error,1km_area,1km_lived_cells,1km_lived_density,1km_gini_index,1km_density,1km_arithmetic_pwd,1km_geometric_pwd,5km_lived_cells,5km_lived_density,5km_gini_index,5km_arithmetic_pwd,5km_geometric_pwd,10km_lived_cells,10km_lived_density,10km_gini_index,10km_arithmetic_pwd,10km_geometric_pwd,5km_pop_error,10km_pop_error,5km_area_error,10km_area_error
worldpop,USA.14_1,Illinois,USA.14.96_1,Washington,14262.0,14219.0,0.0,1443.0,62.0,15.0,0.7873660597462474,10.0,274.0,64.0,98.0,10.0,0.6053455080980192,62.0,23.0,100.0,10.0,0.5186538260111482,26.0,16.0,6.9,28.53,4.64,26.54
landscan,USA.14_1,Illinois,USA.14.96_1,Washington,14262.0,12759.0,11.0,1444.0,45.0,19.0,0.9075758674208024,9.0,427.0,129.0,96.0,9.0,0.7119864139726295,91.0,31.0,100.0,9.0,0.6048147390715631,33.0,19.0,5.36,23.24,3.67,26.66
ghs,USA.14_1,Illinois,USA.14.97_1,Wayne,16517.0,16275.0,1.0,1814.0,48.0,18.0,0.8542348613566776,9.0,269.0,73.0,100.0,9.0,0.6407288572243847,65.0,25.0,100.0,10.0,0.528358122050576,29.0,18.0,0.94,2.33,3.91,11.3
gpw,USA.14_1,Illinois,USA.14.97_1,Wayne,16517.0,16320.0,1.0,1814.0,74.0,12.0,0.7380273672182043,9.0,269.0,52.0,100.0,9.0,0.6261595412863271,65.0,25.0,100.0,10.0,0.5215218357819666,29.0,18.0,1.05,2.48,3.91,11.3
worldpop,USA.14_1,Illinois,USA.14.97_1,Wayne,16517.0,16269.0,2.0,1814.0,63.0,14.0,0.7903813272320376,9.0,289.0,61.0,100.0,9.0,0.6379836438303986,68.0,25.0,100.0,10.0,0.5249438952367939,31.0,18.0,1.09,2.45,3.91,11.3
landscan,USA.14_1,Illinois,USA.14.97_1,Wayne,16517.0,14866.0,10.0,1814.0,43.0,19.0,0.915698081215248,8.0,609.0,152.0,100.0,8.0,0.7355518672422408,104.0,37.0,100.0,9.0,0.6195318735440614,38.0,21.0,0.61,1.69,2.54,11.36
ghs,USA.14_1,Illinois,USA.14.98_1,White,14204.0,14027.0,1.0,1275.0,39.0,28.0,0.9072111903170276,11.0,387.0,140.0,92.0,12.0,0.7558896797762092,90.0,40.0,100.0,11.0,0.5962668124730333,30.0,20.0,1.12,1.14,4.24,5.02
gpw,USA.14_1,Illinois,USA.14.98_1,White,14204.0,13988.0,2.0,1275.0,58.0,19.0,0.8526841834828001,11.0,403.0,116.0,94.0,11.0,0.7519900479808711,90.0,39.0,100.0,11.0,0.6000257150803212,30.0,20.0,1.43,1.46,4.24,5.02
worldpop,USA.14_1,Illinois,USA.14.98_1,White,14204.0,13917.0,2.0,1273.0,51.0,21.0,0.8741427553472847,11.0,412.0,127.0,94.0,11.0,0.7529390640269341,83.0,38.0,100.0,11.0,0.5985170960306229,29.0,20.0,1.39,1.42,3.85,4.71
landscan,USA.14_1,Illinois,USA.14.98_1,White,14204.0,12710.0,11.0,1275.0,38.0,26.0,0.938528408471774,10.0,509.0,193.0,94.0,10.0,0.8110412694712673,107.0,47.0,100.0,10.0,0.665355775260792,34.0,22.0,1.35,1.37,3.45,5.41
ghs,USA.14_1,Illinois,USA.14.99_1,Whiteside,56919.0,56634.0,1.0,1729.0,56.0,58.0,0.8994319684646374,33.0,720.0,320.0,98.0,33.0,0.7740961815609797,321.0,145.0,100.0,33.0,0.6912342570012462,232.0,108.0,3.18,3.18,4.45,4.45
gpw,USA.14_1,Illinois,USA.14.99_1,Whiteside,56919.0,56571.0,1.0,1729.0,89.0,37.0,0.8484212330687569,33.0,739.0,281.0,99.0,33.0,0.7729770346760373,322.0,145.0,100.0,33.0,0.6903671521807719,232.0,107.0,3.22,3.22,4.45,4.45
worldpop,USA.14_1,Illinois,USA.14.99_1,Whiteside,56919.0,56429.0,1.0,1724.0,78.0,42.0,0.8728073439574935,33.0,756.0,306.0,99.0,33.0,0.7743641613530151,321.0,144.0,100.0,33.0,0.6909768043497246,230.0,106.0,3.53,3.53,4.35,4.35
landscan,USA.14_1,Illinois,USA.14.99_1,Whiteside,56919.0,55729.0,2.0,1729.0,50.0,64.0,0.9201401351553165,32.0,836.0,403.0,99.0,32.0,0.8114645767327385,339.0,166.0,100.0,32.0,0.7352813691267437,261.0,123.0,3.6,3.6,4.28,4.28
ghs,USA.14_1,Illinois,USA.14.100_1,Will,685877.0,781910.0,14.0,2164.0,78.0,464.0,0.7759237684330369,361.0,1610.0,1195.0,98.0,378.0,0.6631349304567186,1013.0,772.0,100.0,381.0,0.6108186958604807,785.0,664.0,0.37,0.99,2.87,5.96
gpw,USA.14_1,Illinois,USA.14.100_1,Will,685877.0,781687.0,14.0,2164.0,89.0,405.0,0.7727066211689739,361.0,1606.0,1177.0,98.0,379.0,0.6620663926814738,1008.0,769.0,100.0,380.0,0.6102864175178965,784.0,663.0,0.38,0.99,2.87,5.96
worldpop,USA.14_1,Illinois,USA.14.100_1,Will,685877.0,776588.0,13.0,2161.0,88.0,410.0,0.7803425733333329,359.0,1646.0,1212.0,99.0,372.0,0.664572740468861,1008.0,769.0,95.0,379.0,0.6303586864747759,780.0,661.0,0.38,1.0,2.96,6.06
landscan,USA.14_1,Illinois,USA.14.100_1,Will,685877.0,637887.0,7.0,2164.0,81.0,365.0,0.7765140628565359,295.0,1356.0,982.0,100.0,304.0,0.6623619113066834,820.0,634.0,100.0,312.0,0.6168186293500301,655.0,555.0,0.26,0.75,3.28,6.19
ghs,USA.14_1,Illinois,USA.14.101_1,Williamson,67428.0,67546.0,0.0,1112.0,65.0,94.0,0.8341476379043413,61.0,561.0,299.0,100.0,65.0,0.6414436153416953,215.0,140.0,100.0,65.0,0.5376461413052777,149.0,108.0,1.83,1.83,8.72,8.72
gpw,USA.14_1,Illinois,USA.14.101_1,Williamson,67428.0,67569.0,0.0,1112.0,87.0,70.0,0.7886336062126252,61.0,555.0,260.0,100.0,65.0,0.6427194289439184,216.0,141.0,100.0,65.0,0.5385631656171321,149.0,108.0,1.92,1.92,8.72,8.72
worldpop,USA.14_1,Illinois,USA.14.101_1,Williamson,67428.0,67491.0,0.0,1109.0,84.0,73.0,0.8029681188271278,61.0,569.0,273.0,100.0,65.0,0.6429460398979591,216.0,141.0,100.0,65.0,0.5401612154811873,149.0,108.0,1.96,1.96,8.48,8.48
landscan,USA.14_1,Illinois,USA.14.101_1,Williamson,67428.0,63794.0,5.0,1112.0,62.0,92.0,0.8745277376841791,57.0,739.0,386.0,100.0,62.0,0.703579988187523,240.0,159.0,100.0,62.0,0.5904607716952257,159.0,114.0,1.24,1.24,8.27,8.27
ghs,USA.14_1,Illinois,USA.14.102_1,Winnebago,287148.0,303515.0,6.0,1326.0,76.0,300.0,0.8038085468569361,229.0,1194.0,862.0,95.0,232.0,0.7412300215398471,882.0,625.0,100.0,237.0,0.704113405533662,753.0,569.0,0.11,7.71,1.28,10.86
gpw,USA.14_1,Illinois,USA.14.102_1,Winnebago,287148.0,303167.0,6.0,1326.0,97.0,235.0,0.7982601958283753,229.0,1211.0,846.0,95.0,231.0,0.7398045112977799,882.0,622.0,100.0,237.0,0.7040723247440065,755.0,569.0,0.09,7.7,1.28,10.86
worldpop,USA.14_1,Illinois,USA.14.102_1,Winnebago,287148.0,301763.0,5.0,1324.0,94.0,243.0,0.8044682113308835,228.0,1226.0,866.0,94.0,231.0,0.742598230315787,885.0,625.0,100.0,235.0,0.7075189107589149,756.0,570.0,0.11,8.06,1.28,10.88
landscan,USA.14_1,Illinois,USA.14.102_1,Winnebago,287148.0,301599.0,5.0,1326.0,71.0,320.0,0.8225335941598004,227.0,1388.0,956.0,100.0,227.0,0.7502529547276856,943.0,668.0,100.0,237.0,0.7207678623254957,798.0,605.0,0.13,7.56,0.15,11.16
ghs,USA.14_1,Illinois,USA.14.103_1,Woodford,38930.0,39497.0,1.0,1387.0,54.0,52.0,0.8855324817664808,28.0,430.0,218.0,98.0,28.0,0.7074843838279506,108.0,71.0,100.0,30.0,0.5914003784539257,62.0,48.0,0.19,0.2,0.72,4.18
gpw,USA.14_1,Illinois,USA.14.103_1,Woodford,38930.0,39597.0,2.0,1387.0,89.0,32.0,0.8269858690967659,29.0,428.0,180.0,99.0,28.0,0.7000637699479426,107.0,70.0,100.0,30.0,0.5834119592101705,62.0,48.0,0.22,0.17,0.72,4.18
worldpop,USA.14_1,Illinois,USA.14.103_1,Woodford,38930.0,39509.0,1.0,1364.0,78.0,37.0,0.8499351942763573,29.0,458.0,202.0,98.0,28.0,0.7204619028352552,120.0,76.0,100.0,31.0,0.5825578124969738,68.0,53.0,0.27,8.88,2.86,15.76
landscan,USA.14_1,Illinois,USA.14.103_1,Woodford,38930.0,33784.0,13.0,1387.0,54.0,45.0,0.9173250676079286,24.0,631.0,284.0,98.0,25.0,0.7596042588702737,111.0,73.0,100.0,25.0,0.6279869939867342,55.0,43.0,0.08,0.14,0.5,3.97
ghs,USA.15_1,Indiana,USA.15.1_1,Adams,34945.0,33682.0,4.0,824.0,83.0,49.0,0.7381467061498332,41.0,389.0,150.0,100.0,43.0,0.5172189316295676,148.0,79.0,100.0,43.0,0.408680788083466,72.0,57.0,1.25,1.25,5.58,5.58
gpw,USA.15_1,Indiana,USA.15.1_1,Adams,34945.0,33756.0,3.0,824.0,100.0,41.0,0.6301715202991895,41.0,380.0,123.0,100.0,43.0,0.51546561716674,147.0,78.0,100.0,43.0,0.4075997118546683,72.0,57.0,1.79,1.79,5.58,5.58
worldpop,USA.15_1,Indiana,USA.15.1_1,Adams,34945.0,33598.0,4.0,824.0,99.0,41.0,0.6888496128520295,41.0,400.0,137.0,100.0,43.0,0.5197739410044023,150.0,79.0,100.0,43.0,0.4003959342437914,71.0,56.0,1.35,1.35,5.58,5.58
landscan,USA.15_1,Indiana,USA.15.1_1,Adams,34945.0,34142.0,2.0,824.0,81.0,51.0,0.8229913164316748,41.0,573.0,238.0,100.0,44.0,0.6184215720231229,195.0,103.0,100.0,43.0,0.4866852224549719,86.0,66.0,1.08,1.08,6.8,5.34
ghs,USA.15_1,Indiana,USA.15.2_1,Allen,367362.0,362199.0,1.0,1645.0,87.0,253.0,0.7850502416238262,220.0,1135.0,768.0,100.0,236.0,0.6763525163810716,793.0,541.0,100.0,236.0,0.6405960907137478,713.0,489.0,0.44,0.44,7.17,7.17
gpw,USA.15_1,Indiana,USA.15.2_1,Allen,367362.0,362034.0,1.0,1645.0,99.0,222.0,0.7708355330914857,220.0,1134.0,738.0,100.0,236.0,0.6756918308730774,794.0,540.0,100.0,236.0,0.6403254296071361,711.0,488.0,0.4,0.4,7.17,7.17
worldpop,USA.15_1,Indiana,USA.15.2_1,Allen,367362.0,361665.0,2.0,1645.0,99.0,223.0,0.7797975654816522,220.0,1157.0,763.0,100.0,236.0,0.6763538078282502,793.0,541.0,100.0,236.0,0.6408736159460449,714.0,489.0,0.42,0.42,7.17,7.17
